variable,explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_sky,"lake identifier (SkyPond, TheLoch)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANK_B               ,"habitat preference (planktonic or benthic, categorical)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthidium         ,Achnanthidium (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterionella formosa  ,"Asterionella formosa (genus, species)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulacoseira           ,Aulacoseira (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavinula              ,Cavinula (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaepinnularia      ,Chamaepinnularia (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbopleura           ,Cymbopleura (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encyonema             ,Encyonema (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eolimna               ,Eolimna (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eunotia               ,Eunotia (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria            ,Fragilaria (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria crotonensis,"Fragilaria crotonensis (genus, species)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilariforma        ,Fragilariforma (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genkalia              ,Genkalia (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomphonema            ,Gomphonema (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hantzschia            ,Hantzschia (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humidophila           ,Humidophila  (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karayevia             ,Karayevia (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karayevia clevei      ,"Karayevia clevei (genus, species) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luticola              ,Luticola (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayamaea              ,Mayamaea (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melosira varians      ,"Melosira varians (genus, species)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula              ,Navicula (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitzschia             ,Nitzschia (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitzschia dissipata   ,"Nitzschia dissipata (genus, species)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nupela                ,Nupela (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinnularia            ,Pinnularia (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platessa              ,Platessa (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammothidium         ,Psammothidium (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossithidium          ,Rossithidium (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sellaphora            ,Sellaphora (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stauroneis            ,Stauroneis (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staurosira            ,Staurosira (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staurosirella         ,Staurosirella (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetracyclus           ,Tetracyclus (genus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total                 ,total number of cells counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP                    ,benthic to planktonic diatom cell count ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB                    ,planktonic to benthic diatom cell count ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,