sample_ID,depth_range
SPDC1_001,0.0-0.2
SPDC1_002,0.2-0.4
SPDC1_003,0.4-0.6
SPDC1_004,0.6-0.8
SPDC1_005,0.8-1.0
SPDC1_006,1.0-1.2
SPDC1_007,1.2-1.4
SPDC1_008,1.4-1.6
SPDC1_009,1.6-1.8
SPDC1_010,1.8-2.0
SPDC1_011,2.0-2.2
SPDC1_012,2.2-2.4
SPDC1_013,2.4-2.6
SPDC1_014,2.6-2.8
SPDC1_015,2.8-3.0
SPDC1_016,3.0-3.2
SPDC1_017,3.2-3.4
SPDC1_018,3.4-3.6
SPDC1_019,3.6-3.8
SPDC1_020,3.8-4.0
SPDC1_021,4.0-4.2
SPDC1_022,4.2-4.4
SPDC1_023,4.4-4.6
SPDC1_024,4.6-4.8
SPDC1_025,4.8-5.0
SPDC1_026,5.0-5.2
SPDC1_027,5.2-5.4
SPDC1_028,5.4-5.6
SPDC1_029,5.6-5.8
SPDC1_030,5.8-6.0
SPDC1_031,6.0-6.2
SPDC1_032,6.2-6.4
SPDC1_033,6.4-6.6
SPDC1_034,6.6-6.8
SPDC1_035,6.8-7.0
SPDC1_036,7.0-7.2
SPDC1_037,7.2-7.4
SPDC1_038,7.4-7.6
SPDC1_039,7.6-7.8
SPDC1_040,7.8-8.0
SPDC1_041,8.0-8.2
SPDC1_042,8.2-8.4
SPDC1_043,8.4-8.6
SPDC1_044,8.6-8.8
SPDC1_045,8.8-9.0
SPDC1_046,9.0-9.2
SPDC1_047,9.2-9.4
SPDC1_048,9.4-9.6
SPDC1_049,9.6-9.8
SPDC1_050,9.8-10.0
SPDC1_051,10.0-10.2
SPDC1_052,10.2-10.4
SPDC1_053,10.4-10.6
SPDC1_054,10.6-10.8
SPDC1_055,10.8-11.0
SPDC1_056,11.0-11.2
SPDC1_057,11.2-11.4
SPDC1_058,11.4-11.6
SPDC1_059,11.6-11.8
SPDC1_060,11.8-13.0
SPDC1_065,13.0-13.2
SPDC1_066,13.2-13.4
SPDC1_067,13.4-13.6
SPDC1_068,13.6-13.8
SPDC1_069,13.8-14.0
SPDC1_070,14.0-14.2
SPDC1_071,14.2-14.4
SPDC1_072,14.4-14.6
SPDC1_073,14.6-14.8
SPDC1_074,14.8-15.2
SPDC1_076,15.2-15.4
SPDC1_077,15.4-15.6
SPDC1_078,15.6-15.8
SPDC1_079,15.8-16.0
SPDC1_080,16.0-16.2
SPDC1_081,16.2-16.4
SPDC1_082,16.4-16.6
SPDC1_083,16.6-16.8
SPDC1_084,16.8-17.0
SPDC1_085,17.0-17.2
SPDC1_086,17.2-17.4
SPDC1_087,17.4-17.6
SPDC1_088,17.6-17.8
SPDC1_089,17.8-18.0
SPDC1_090,18.0-18.2
SPDC1_091,18.2-18.4
SPDC1_092,18.4-18.6
SPDC1_093,18.6-18.8
SPDC1_094,18.8-19.0
SPDC1_095,19.0-19.2
SPDC1_096,19.2-19.4
SPDC1_097,19.4-19.6
SPDC1_098,19.6-19.8
SPDC1_099,19.8-20.0
SPDC1_100,20.0-20.2
SPDC1_101,20.2-20.4
SPDC1_102,20.4-20.6
SPDC1_103,20.6-20.8
SPDC1_104,20.8-21.0
SPDC1_105,21.0-21.2
SPDC1_106,21.2-21.4
SPDC1_107,21.4-21.6
SPDC1_108,21.6-21.8
SPDC1_109,21.8-22.0
SPDC1_110,22.0-22.2
SPDC1_111,22.2-22.4
SPDC1_112,22.4-22.6
SPDC1_113,22.6-22.8
SPDC1_114,22.8-23.0
SPDC1_115,23.0-23.2
SPDC1_116,23.2-23.4
SPDC1_117,23.4-23.6
SPDC1_118,23.6-23.8
SPDC1_119,23.8-24.0
SPDC1_120,24.0-24.2