INSTAAR_accession_num,PLANK_B,Achnanthidium,Asterionella formosa,Aulacoseira,Cavinula,Chamaepinnularia,Cymbopleura,Encyonema,Eolimna,Eunotia,Fragilaria,Fragilaria crotonensis,Fragilariforma,Genkalia,Gomphonema,Hantzschia,Humidophila,Karayevia,Karayevia clevei,Luticola,Mayamaea,Melosira varians,Navicula,Nitzschia,Nitzschia dissipata,Nupela,Pinnularia,Platessa,Psammothidium,Rossithidium,Sellaphora,Stauroneis,Staurosira,Staurosirella,Tetracyclus,total,age_sky,Stauroneis_spp,Karayevia_spp,Fragilaria_spp,Nitzschia_spp
17121,B,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,8,NA,4,NA,30,2,NA,60,2010.220339,32,0,NA,5
17121,PLANK,NA,27,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2010.220339,NA,NA,8,NA
17122,B,NA,NA,NA,2,7,NA,2,11,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,11,NA,NA,NA,22,2,NA,63,2006.830508,24,0,NA,0
17122,PLANK,NA,28,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2006.830508,NA,NA,1,NA
17123,B,NA,NA,NA,1,3,NA,NA,8,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,17,NA,2,NA,21,NA,NA,61,2000.050847,21,0,NA,0
17123,PLANK,NA,19,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,2000.050847,NA,NA,10,NA
17124,B,NA,NA,NA,1,4,NA,NA,5,NA,NA,NA,1,5,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,6,1,33,NA,1,67,1996.661017,34,2,NA,1
17124,PLANK,NA,14,11,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1996.661017,NA,NA,8,NA
17125,B,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,11,NA,NA,NA,18,NA,NA,48,1993.271186,18,0,NA,2
17125,PLANK,NA,23,7,NA,NA,NA,NA,NA,NA,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1993.271186,NA,NA,22,NA
17126,B,NA,NA,NA,2,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,2,NA,37,NA,NA,57,1986.491525,37,0,NA,0
17126,PLANK,NA,30,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1986.491525,NA,NA,8,NA
17127,B,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,4,NA,10,NA,NA,NA,34,NA,NA,64,1983.101695,34,0,NA,6
17127,PLANK,NA,25,9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1983.101695,NA,NA,2,NA
17128,B,NA,NA,NA,NA,8,NA,1,2,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,13,24,NA,NA,66,1979.711864,37,2,NA,0
17128,PLANK,NA,21,4,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1979.711864,NA,NA,9,NA
17129,B,NA,NA,NA,1,7,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,12,NA,2,NA,27,NA,NA,61,1972.932203,27,0,NA,2
17129,PLANK,NA,34,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1972.932203,NA,NA,1,NA
17130,B,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,51,NA,NA,68,1969.542373,52,0,NA,0
17130,PLANK,NA,21,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1969.542373,NA,NA,1,NA
17131,B,NA,NA,NA,NA,4,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,9,NA,2,NA,24,NA,NA,49,1966.152542,24,0,NA,3
17131,PLANK,NA,38,6,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1966.152542,NA,NA,7,NA
17132,B,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,5,NA,NA,NA,63,NA,NA,83,1955.983051,63,0,NA,0
17132,PLANK,NA,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1955.983051,NA,NA,0,NA
17133,B,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,59,NA,NA,71,1952.59322,59,1,NA,0
17133,PLANK,NA,19,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1952.59322,NA,NA,2,NA
17135,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,15,NA,NA,1,57,NA,NA,85,1945.813559,58,0,NA,0
17135,PLANK,NA,2,11,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1945.813559,NA,NA,2,NA
17137,B,2,NA,NA,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,3,NA,65,NA,NA,84,1939.033898,65,0,NA,0
17137,PLANK,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1939.033898,NA,NA,0,NA
17139,B,NA,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,2,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,2,65,NA,NA,92,1932.254237,67,1,NA,0
17139,PLANK,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1932.254237,NA,NA,0,NA
17140,B,4,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,1,NA,62,NA,NA,88,1928.864407,62,0,NA,0
17140,PLANK,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1928.864407,NA,NA,0,NA
17142,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,NA,83,NA,NA,91,1922.084746,83,0,NA,0
17142,PLANK,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1922.084746,NA,NA,0,NA
17144,B,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,75,NA,NA,85,1915.305085,75,0,NA,0
17144,PLANK,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1915.305085,NA,NA,1,NA
17146,B,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,78,NA,NA,94,1901.745763,78,0,NA,0
17146,PLANK,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1901.745763,NA,NA,0,NA
17148,B,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,1,70,NA,NA,89,1888.186441,71,0,NA,0
17148,PLANK,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1888.186441,NA,NA,0,NA
17150,B,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,3,NA,1,NA,66,NA,NA,80,1867.847458,66,0,NA,0
17150,PLANK,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1867.847458,NA,NA,0,NA
17151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1861.067797,0,0,NA,0
17152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1840.728814,NA,NA,0,NA
17156,B,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,78,NA,NA,93,1711.915254,78,2,NA,0
17156,PLANK,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1711.915254,NA,NA,0,NA
17158,B,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,3,NA,1,NA,75,NA,NA,91,1644.118644,75,2,NA,0
17158,PLANK,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1644.118644,NA,NA,0,NA
17159,B,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,2,NA,2,65,NA,NA,79,1610.220339,67,0,NA,0
17159,PLANK,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1610.220339,NA,NA,0,NA