Date,ppt_mm,yr,totalN,ppt_cm_nadp,pp_mm_nadp
1895,1524.508,,,,
1896,1168.4,,,,
1897,1242.822,,,,
1898,1023.62,,,,
1899,927.354,,,,
1900,893.064,,,,
1901,939.038,,,,
1902,916.178,,,,
1903,742.95,,,,
1904,897.128,,,,
1905,1480.058,,,,
1906,1254.76,,,,
1907,1016.254,,,,
1908,1064.514,,,,
1909,1316.736,,,,
1910,746.506,,,,
1911,839.724,,,,
1912,776.224,,,,
1913,973.074,,,,
1914,958.596,,,,
1915,1019.302,,,,
1916,1140.206,,,,
1917,1087.374,,,,
1918,1240.282,,,,
1919,753.618,,,,
1920,952.5,,,,
1921,1140.206,,,,
1922,1245.108,,,,
1923,1036.828,,,,
1924,790.956,,,,
1925,712.724,,,,
1926,969.518,,,,
1927,1149.858,,,,
1928,959.104,,,,
1929,821.182,,,,
1930,978.408,,,,
1931,698.754,,,,
1932,937.768,,,,
1933,896.112,,,,
1934,750.824,,,,
1935,815.594,,,,
1936,1176.02,,,,
1937,1016.762,,,,
1938,1139.698,,,,
1939,788.162,,,,
1940,978.662,,,,
1941,1075.69,,,,
1942,1292.098,,,,
1943,929.64,,,,
1944,1012.952,,,,
1945,1159.51,,,,
1946,794.258,,,,
1947,1145.032,,,,
1948,1100.836,,,,
1949,941.832,,,,
1950,1194.054,,,,
1951,1436.37,,,,
1952,1150.62,,,,
1953,1006.348,,,,
1954,699.516,,,,
1955,1106.678,,,,
1956,1030.224,,,,
1957,1523.746,,,,
1958,1090.676,,,,
1959,1150.112,,,,
1960,912.876,,,,
1961,1231.138,,,,
1962,732.028,,,,
1963,972.312,,,,
1964,994.918,,,,
1965,1264.158,,,,
1966,741.68,,,,
1967,1474.724,,,,
1968,998.728,,,,
1969,1352.042,,,,
1970,1214.628,,,,
1971,1141.984,,,,
1972,1016.508,,,,
1973,1071.88,,,,
1974,954.278,,,,
1975,1064.514,,,,
1976,844.296,,,,
1977,1190.752,,,,
1978,1156.462,,,,
1979,1134.11,,,,
1980,1121.156,,,,
1981,1089.152,,,,
1982,1232.154,,,,
1983,1618.488,,,,
1984,1293.368,1984,2.794,111.142,1111.42
1985,1225.55,1985,2.978,109.82,1098.2
1986,1230.122,1986,2.799,106.245,1062.45
1987,1029.208,1987,2.048,96.394,963.94
1988,1042.924,1988,1.324,77.962,779.62
1989,1042.67,1989,2.41,90.496,904.96
1990,1154.938,1990,3.321,112.566,1125.66
1991,1113.282,1991,2.45,100.325,1003.25
1992,988.06,1992,2.52,93.906,939.06
1993,1277.112,1993,3.25,121.05,1210.5
1994,1008.126,1994,3.912,117.029,1170.29
1995,1455.166,1995,3.086,142.838,1428.38
1996,1433.576,1996,3.42,138.281,1382.81
1997,1235.71,1997,2.868,125.679,1256.79
1998,1115.568,1998,2.664,99.012,990.12
1999,1247.14,1999,3.186,97.511,975.11
2000,1172.464,2000,3.236,97.435,974.35
2001,939.292,2001,3.444,86.834,868.34
2002,743.458,2002,2.604,70.874,708.74
2003,1348.486,2003,2.808,86.718,867.18
2004,1167.638,2004,3.493,99.337,993.37
2005,1217.422,2005,2.806,99.302,993.02
2006,1121.664,2006,3.518,85.109,851.09
2007,923.544,2007,2.966,86.713,867.13
2008,1069.086,2008,3.162,103.489,1034.89
2009,1183.132,2009,2.759,125.034,1250.34
2010,1269.238,2010,2.959,130.818,1308.18
2011,1383.284,2011,3.152,133.854,1338.54
2012,912.368,2012,2.525,91.44,914.4
2013,1263.65,2013,4.58,140.792,1407.92
2014,1483.868,2014,3.377,145.259,1452.59
2015,1179.068,2015,2.594,112.09,1120.9
2016,1170.94,2016,3.244,117.018,1170.18
2017,1401.572,2017,2.89,121.511,1215.11
2018,999.236,2018,2.189,83.206,832.06