mid_depth,ln_PB_210,Cs_137_activity_dpm_g,ln_PB_210_exclude,date_at_depth
0.1,4.058813539,12.89528181,NA,2010.54
0.7,4.329841563,14.10405497,NA,2002.76
1.5,4.52015151,20.22753471,NA,1992.03
2.3,4.242565325,21.91370448,NA,1977.43
3.1,4.181656755,26.70819797,NA,1958.88
3.9,3.626641282,6.847773745,NA,1933.85
4.7,1.207118441,3.351134415,NA,1930.24
5.5,1.394641148,2.190830871,NA,1925.57
6.3,2.056574451,-0.049264307,NA,1914.04
7.1,0.889841059,0.626877611,NA,1909.57
7.9,0.822949509,0.434361783,NA,1903.32
9.5,NA,0.227850855,1.307802782,1890.91
11.1,NA,-0.053855096,1.734391232,1862.39
13.3,NA,0.166849091,1.302102288,NA