loch_z,depth_loch,sky_z,depth_sky
-1.29447093,0.25,-1.21648453,0.2
-1.57417771,0.5,-1.370609275,0.5
-1.59282483,0.75,-1.13942217,0.8
-1.70470754,1,-1.21648453,1
-1.51823635,1.25,-1.37060927,1.2
-1.36905941,1.5,-1.13942217,1.5
-0.7537045,2,-1.44767164,2
-0.84694009,2.25,-1.37060927,2.2
-0.39940925,2.5,-1.216484535,2.5
-0.52993908,2.75,-1.13942217,2.8
-0.64182179,3,-0.67704795,3
-0.56723331,3.25,-0.98529743,3.2
-0.06376111,3.5,-0.75411032,3.5
0.29053414,3.75,-0.52292322,3.8
0.40241685,4,-0.060549,4
0.62618227,4.25,0.09357573,4.2
0.9618304,5.25,0.47888758,5.2
0.57024091,6.75,0.63301231,6.6
1.33477277,8.75,0.86419942,8.6
1.20424294,9.25,0.1706381,9
0.88724193,12,0.71007468,11.8
1.27883141,13.5,1.09538653,13.4
0.38376973,18.75,0.78713705,18.8
0.81265345,20.25,0.86419942,20.8